,meteo_temp_max,meteo_temp_min,meteo_temp_mean,meteo_temp_max-min,meteo_pressure_max,meteo_pressure_min,meteo_pressure_mean,meteo_pressure_max-min,meteo_relhum_max,meteo_relhum_min,meteo_relhum_mean,meteo_relhum_max-min,meteo_wind_speed,meteo_precipitation,prtcl_elem_carbon_inPM10,prtcl_org_carbon_inPM10,prtcl_tot_carbon_inPM10,prtcl_sec_org_carbon_inOC,prtcl_elem_carbon_unit,prtcl_org_carbon_unit,prtcl_org_by_elem_carbon,prtcl_pm10_unit,prtcl_sec_carbon_unit,prtcl_tot_carbon_unit,no2,weekdays,weeknum,months,year,season,meteo_wind_direction_numerical
21-01-11,3.1,1,1.6,2.1,1011,1008.8,1009.7,2.2,78,54,65,24,5.086099072,0,3.076974093,28.45242426,31.52940584,81.09124827,0.832547451,7.698470179,9.246884569,27.05734355,6.242785566,8.531019657,36.23971556,4,4,1,2011,0,22.5
24-01-11,2.9,-4.8,-1.8,7.7,1006.2,1004.2,1005.1,2,94,58,77,36,0.3,0,5.41036588,29.70716942,35.11753533,68.15629012,2.470005897,13.56227754,5.490787515,45.6532137,9.243545228,16.03228345,40.81910745,0,5,1,2011,0,315
25-01-11,1.1,-6.5,-0.9,7.6,1003.7,997.6,1000.6,6.1,89,64,78,25,0.588472861,0,4.709438868,30.61852755,35.32796644,73.1067581,2.658033622,17.2812681,6.501523515,56.44055898,12.63377487,19.93930173,62.807,1,5,1,2011,0,180
26-01-11,8.2,-2.2,2.3,10.4,995.9,993.3,994.3,2.6,83,48,71,35,0.86442559,0,3.777501691,26.29753123,30.07503294,74.88414403,2.571217595,17.89983977,6.961619975,68.06661666,13.40414179,20.47105738,82.27768104,2,5,1,2011,0,202.5
27-01-11,3.2,0.7,1.5,2.5,1003,998.1,1000.4,4.9,91,83,87,8,2.351774781,0.3,2.08756343,21.86858159,23.95614464,83.30919202,1.046371555,10.96142105,10.47564892,50.12406045,9.131871313,12.00779242,53.49654382,3,5,1,2011,0,45
28-01-11,0.9,-2.1,-0.6,3,1009.4,1007.1,1008.2,2.3,81,75,78,6,2.331439937,0,1.181761376,21.83595883,23.01771581,90.53728367,0.61394772,11.34419977,18.47746869,51.95191957,10.27073033,11.9581452,40.52064516,4,5,1,2011,0,22.5
31-01-11,-0.4,-1.7,-1.3,1.3,1011.4,1008.4,1009.9,3,82,77,80,5,1.929770862,0,2.759094896,20.4687755,23.22786956,76.43143878,1.364808311,10.12504317,7.418655852,49.46579812,7.73871617,11.48985107,37.81023411,0,6,1,2011,0,90
01-02-11,-1.1,-4,-2.9,2.9,1012,1011.4,1011.7,0.6,98,68,79,30,0.849290201,0,2.105159051,23.98871555,26.0938743,84.65608391,1.348338413,15.36459045,11.39520339,64.04924192,13.00706059,16.71292868,48.51371262,1,6,2,2011,0,112.5
02-02-11,-1.9,-5.4,-3.9,3.5,1015,1012,1013.4,3,89,74,82,15,0.945236888,0,2.07516788,25.10604066,27.18121994,85.5478219,1.71209521,20.71347209,12.09831788,82.50393746,17.71992421,22.4255767,57.00041561,2,6,2,2011,0,67.5
03-02-11,2.1,-5.1,-2,7.2,1013.8,1013.2,1013.4,0.6,91,62,77,29,0.229529888,0,2.30947846,26.29646572,28.60593405,84.64411577,1.856240635,21.13575384,11.38632214,80.37488408,17.89017195,22.99198633,46.94464988,3,6,2,2011,0,67.5
04-02-11,7.5,-5.4,0.3,12.9,1015.2,1013.2,1014.3,2,92,49,76,43,0.885721341,0,2.572126627,34.15989744,36.73202735,86.83459926,2.213391209,29.39560436,13.28079927,86.05296434,25.52555525,31.6089984,67.78375462,4,6,2,2011,0,270
07-02-11,17.5,-2.8,5,20.3,1009.6,1006.3,1007.8,3.3,92,33,66,59,0.116977596,0,6.411063794,32.60574853,39.01681431,65.62092245,6.649550201,33.8186561,5.085856198,103.7199194,22.1921141,40.46820837,50.40853668,0,7,2,2011,0,45
08-02-11,15.3,-3.2,6.1,18.5,1006.6,1003.3,1004.4,3.3,90,36,62,54,0.229529888,0,4.649010706,27.94834583,32.59735961,70.91542421,2.932603244,17.62986038,6.011675945,63.08015683,12.50229027,20.56246556,54.07383619,1,7,2,2011,0,67.5
09-02-11,12,1,4.6,11,1008.8,1007.5,1008.3,1.3,83,39,67,44,0.766577434,0,8.273481275,26.50252957,34.77601084,45.41676689,4.044395239,12.9554538,3.203310516,48.88383868,5.883948252,16.99984904,78.39567931,2,7,2,2011,0,22.5
10-02-11,11.1,-2,3.4,13.1,1009.9,1006.1,1008,3.8,92,42,71,50,0.770036208,0,4.460101847,30.06073058,34.52082054,74.05799488,2.882866198,19.43028815,6.739920211,64.63677954,14.38968181,22.31314667,92.3561981,3,7,2,2011,0,22.5
11-02-11,16.3,-3.1,7,19.4,1002.7,999,1000.5,3.7,91,35,63,56,1.634646836,0,1.373897915,21.86274892,23.23663718,89.01226964,0.580009011,9.229645996,15.91293551,42.21631062,8.215517381,9.80965093,48.39580479,4,7,2,2011,0,225
14-02-11,2.3,0.8,1.2,1.5,999.1,998.6,998.9,0.5,95,81,90,14,1.929770862,0.4,1.773185403,21.94112373,23.71431019,85.8696286,1.056982165,13.07893491,12.37384635,59.60923,11.23083283,14.1359177,46.42710133,0,8,2,2011,0,67.5
15-02-11,0.9,-0.2,0.4,1.1,996.1,994.2,994.9,1.9,96,88,91,8,1.327249837,3,1.831325794,24.31016404,26.14150063,86.82847626,1.426876868,18.94125603,13.27462547,77.91496592,16.44640399,20.3681413,48.31307692,1,8,2,2011,0,45
16-02-11,4.7,0.2,3.2,4.5,992.6,989,991.1,3.6,96,90,93,6,1.344567786,6.2,1.778954565,20.12067151,21.89962878,84.54102549,1.230805132,13.92088717,11.3103909,69.18699089,11.76886077,15.15169417,67.69957428,2,8,2,2011,0,45
17-02-11,4.9,1.9,3.5,3,994,989.5,991.8,4.5,95,89,93,6,1.000918538,0,1.978269008,20.47861575,22.45688407,83.109479,1.254466003,12.98596255,10.35178516,63.41230633,10.79256582,14.24042812,71.38369805,3,8,2,2011,0,90
18-02-11,4.6,2.6,3.7,2,997.9,993.5,995.5,4.4,97,84,89,13,1.929684142,0,1.408267955,25.27647765,26.68473929,90.25847298,0.601660482,10.79898017,17.94862801,42.72343767,9.746994602,11.40063796,54.65310877,4,8,2,2011,0,22.5
21-02-11,3.1,-1.7,-1.2,4.8,1001.1,1000.3,1000.6,0.8,92,68,79,24,2.5,0,2.799478204,23.86870619,26.66818071,79.49279335,1.513981933,12.90840196,8.52612682,54.08086161,10.2612493,14.4223819,56.777528,0,9,2,2011,0,22.5
22-02-11,-0.4,-3.3,-1.4,2.9,1002.5,999.5,1000.5,3,87,79,83,8,2.457353252,0,2.566118249,25.00479413,27.57091295,82.05631329,1.890654054,18.42292942,9.744209619,73.67758887,15.11717668,20.31358389,42.90828352,1,9,2,2011,0,67.5
23-02-11,0.1,-5.5,-3.4,5.6,1011.2,1006.6,1008.6,4.6,71,56,64,15,2.331634909,0,2.16695481,23.74218944,25.90914589,84.04167209,1.364107736,14.94581434,10.95647649,62.95044686,12.56071228,16.30992311,27.50285474,2,9,2,2011,0,45
24-02-11,1.6,-8,-3.5,9.6,1012.7,1012,1012.5,0.7,75,58,69,17,1.41516432,0,2.964727826,25.27691684,28.24164307,79.49220224,1.716149863,14.63168963,8.525881066,57.88557885,11.63105231,16.34783857,60.01872837,3,9,2,2011,0,0
25-02-11,2.6,-8.7,-1.8,11.3,1012.2,1010.6,1011.5,1.6,82,46,61,36,3.824759592,0,3.441202127,17.71245451,21.15365856,66.03045492,2.458409347,12.65385238,5.147170627,71.44042274,8.35539629,15.1122631,50.25262834,4,9,2,2011,0,45
28-02-11,0.2,-1.5,-0.2,1.7,1011.7,1007.5,1009.6,4.2,91,76,82,15,0.833333344,0,2.729961912,17.79439599,20.5243579,73.17550018,2.003653404,13.06018298,6.51818471,73.39492156,9.55685422,15.06383638,67.5041648,0,10,2,2011,0,90
01-03-11,2.8,-0.5,0.7,3.3,1016,1014.1,1015.1,1.9,81,73,77,8,2.522013556,0,2.440518589,16.21243575,18.65295467,73.67962043,1.538257208,10.21868723,6.643028995,63.02993205,7.529089968,11.75694466,52.40670108,1,10,3,2011,1,45
02-03-11,1.5,-1.7,-0.6,3.2,1016,1014.4,1015.1,1.6,89,72,80,17,3.08642594,1.2,1.811658994,16.35879934,18.17045903,80.63652384,1.05992018,9.570797595,9.029734288,58.50550151,7.717558485,10.63071818,32.34247508,2,10,3,2011,1,45
03-03-11,0.5,-2.3,-0.4,2.8,1017.6,1015.9,1016.7,1.7,85,77,80,8,1.539817669,0,2.181378451,18.2189075,20.40028697,79.06528833,1.772379679,14.80294326,8.352015896,81.25044412,11.70398977,16.57532377,36.08682721,3,10,3,2011,1,45
04-03-11,4.2,-1.6,0.1,5.8,1017.3,1014.8,1016.1,2.5,91,64,80,27,1.055471381,0,1.353101214,22.64193326,23.99503872,89.55099171,0.879669345,14.71982614,16.73336261,65.01134847,13.18175028,15.59949824,34.9507392,4,10,3,2011,1,67.5
07-03-11,5.1,-2.6,-0.2,7.7,1020.9,1015.7,1018.1,5.2,63,35,49,28,3.34575509,0,5.709021043,20.6115403,26.32056268,51.57055502,1.663936348,6.00738565,3.610345828,29.14573856,3.098042122,7.671322386,40.19648,0,11,3,2011,1,22.5
08-03-11,6.6,-6,-0.9,12.6,1021.7,1014.6,1018.2,7.1,78,25,56,53,0.47471224,0,3.913896193,26.36394799,30.27784319,74.04284128,1.682295898,11.33192077,6.735985495,42.98263968,8.390476109,13.01421624,65.74690213,1,11,3,2011,1,247.5
09-03-11,9.6,-6.5,0.6,16.1,1011,1006.6,1008.4,4.4,79,32,59,47,0.819430949,0,4.301291597,26.87000894,31.17130009,72.01087184,2.026648483,12.66039784,6.246962879,47.1172074,9.116862865,14.68704611,62.88495656,2,11,3,2011,1,45
10-03-11,16.5,-4,4.8,20.5,1006,1004.1,1004.8,1.9,77,26,55,51,0.300049094,0,5.824664526,23.30874569,29.13340749,56.30715647,4.254083097,17.02369992,4.001731874,73.03567575,9.585561352,21.27778103,70.75479938,3,11,3,2011,1,315
11-03-11,18.4,-1.3,9.8,19.7,1004.8,1004.2,1004.6,0.6,73,28,46,45,1.71857788,0,3.550295379,23.67330446,27.22360568,73.77811554,1.333921898,8.894566746,6.667981657,37.57213852,6.56224373,10.22849084,58.52577378,4,11,3,2011,1,180
14-03-11,19.5,10,14,9.5,1004.8,1002.3,1003.6,2.5,73,50,64,23,1.784593804,0,7.487925133,16.2262451,23.71417023,19.31333643,2.782118793,6.028818484,2.16698816,37.15473571,1.164365996,8.810937273,65.20660299,0,12,3,2011,1,225
15-03-11,19.8,7.4,14.2,12.4,1004.4,1002.6,1003.3,1.8,91,42,64,49,0.903666616,0,5.0406099,14.30112843,19.34173471,38.37299285,2.983135154,8.463697809,2.83718215,59.18202784,3.247774155,11.44683082,92.28783673,1,12,3,2011,1,247.5
16-03-11,14.9,7.2,10.4,7.7,999.9,992.8,996.3,7.1,91,80,87,11,1.326129865,16.5,4.988596965,18.28132923,23.26992618,52.28785471,2.281251378,8.359927206,3.664623411,45.72931816,4.371226591,10.64117858,82.12184086,2,12,3,2011,1,22.5
17-03-11,17.3,9.7,13,7.6,992.8,986.5,989.6,6.3,94,50,68,44,2.3,0.2,11.56638276,20.22347842,31.78986992,58.80762966,2.949258317,5.156691005,1.748470446,25.49853639,3.287188308,8.10595155,113.468117,3,12,3,2011,1,202.5
18-03-11,13.7,4.3,8.4,9.4,1003.4,995.4,999.3,8,92,68,82,24,1.0667794,2.5,3.904548711,19.68986731,23.59441684,65.32740461,0.668769907,3.372474444,5.042802324,17.12796938,2.203150025,4.041244492,44.42367541,4,12,3,2011,1,90
21-03-11,9.2,2.5,4.2,6.7,1019.9,1016.2,1018,3.7,79,47,62,32,1.643496007,0,5.289485745,22.5358804,27.82536615,60.3193311,2.337547566,9.959133062,4.260504987,44.19234078,6.007282446,12.29668063,66.57597021,0,13,3,2011,1,22.5
22-03-11,14.2,-1.4,6,15.6,1020,1017.9,1018.9,2.1,89,35,63,54,0.49889623,0,5.657302884,18.77256657,24.42986946,49.0521525,2.61749119,8.685592521,3.318289114,46.26747486,4.260470088,11.30308371,77.69458519,1,13,3,2011,1,315
23-03-11,17.4,0.2,9.2,17.2,1018.1,1016.9,1017.4,1.2,81,38,60,43,0.98773096,0,5.133453253,17.74000926,22.87346252,51.07894299,2.465026583,8.518553152,3.455765228,48.0188766,4.351186908,10.98357974,90.42816797,2,13,3,2011,1,22.5
24-03-11,20.3,2,10.4,18.3,1018.3,1012.6,1015.4,5.7,83,33,60,50,0.533333346,0,7.662644298,24.31335089,31.97599519,46.71881065,3.993691377,12.67186836,3.172971359,52.11897123,5.920146183,16.66555974,88.80233457,3,13,3,2011,1,180
25-03-11,23.4,1.7,14.2,21.7,1008.6,999.5,1003.3,9.1,83,22,47,61,1.344567786,0,2.877755706,16.31654555,19.19430126,70.18287482,0.986338361,5.592425641,5.669885569,34.27456886,3.924925087,6.578764003,55.21494505,4,13,3,2011,1,225
28-03-11,13.5,5.6,10.3,7.9,999.5,997.7,998.4,1.8,95,86,91,9,0.529529885,14,4.81796839,23.36983643,28.1878089,65.14634435,1.793763879,8.700756221,4.850558273,37.23071082,5.668224609,10.49452162,49.55701827,0,14,3,2011,1,67.5
29-03-11,16,5.3,9.1,10.7,1002.1,1001.2,1001.5,0.9,97,55,78,42,0.670851438,0,5.629771548,18.41717514,24.0469467,48.32174791,2.791233483,9.131211716,3.271389432,49.57987121,4.412361106,11.9224452,57.24049331,1,14,3,2011,1,337.5
30-03-11,18.1,2.3,9.6,15.8,1003,1001.7,1002.5,1.3,91,28,63,63,0.299935872,0,6.358880855,20.76606659,27.12494745,48.23138955,2.716022449,8.869658722,3.265679458,42.71227141,4.277959649,11.58568117,53.12978852,2,14,3,2011,1,112.5
31-03-11,19.6,2.7,11,16.9,1006.8,1005.9,1006.2,0.9,86,31,63,55,6.94E-05,0,6.74222646,21.16673359,27.90896461,46.14952301,3.144145071,9.870816633,3.13942786,46.63363193,4.555334793,13.01496383,49.7328898,3,14,3,2011,1,270
01-04-11,20.5,5.2,13.8,15.3,1008.3,1006.7,1007.7,1.6,75,34,60,41,0.333262771,0,5.009756166,25.2358357,30.24560679,66.43868571,1.695953601,8.543091718,5.037338117,33.85301688,5.675917856,10.23905037,55.58750788,4,14,4,2011,1,45
04-04-11,23.6,8.4,14.3,15.2,1003.7,996.5,999.6,7.2,80,43,66,37,2.192967349,11.8,8.692595913,21.14353232,29.83612817,30.4956462,2.286286116,5.561073455,2.432361118,26.30153454,1.695885285,7.847359554,39.09362817,0,15,4,2011,1,45
05-04-11,17,7.8,10,9.2,1010.6,1008.5,1009.3,2.1,93,43,74,50,1.858996784,0,5.590559068,9.451381703,15.04193733,22.76070953,1.424387112,2.408064405,1.690596877,25.47843776,1.418980077,3.83245064,100.3021488,1,15,4,2011,1,22.5
06-04-11,18.6,3.6,11.9,15,1012.1,1010.5,1011.4,1.6,87,41,69,46,0.424288611,0,10.74376595,21.37516019,32.11893229,15.02577286,3.820365513,7.600772874,1.989540752,35.55890486,1.142074868,11.42114057,80.13398395,2,15,4,2011,1,292.5
07-04-11,26.6,7.3,19.9,19.3,1009.5,999,1004.3,10.5,83,34,53,49,1.401697224,0,10.76905243,18.83172239,29.60076697,3.322032706,2.890198797,5.05405854,1.748688894,26.83800469,0.167897478,7.944255229,57.94547303,3,15,4,2011,1,270
08-04-11,23.2,13.3,15.2,9.9,1000.7,999,1000.1,1.7,80,47,64,33,0.519550252,0,5.865045937,20.21921044,26.08425636,50.96035834,1.454302625,5.013575535,3.447408709,24.79609948,2.554936058,6.467878154,91.98025584,4,15,4,2011,1,22.5
11-04-11,19,5.4,13.2,13.6,1006.6,1002.8,1004.7,3.8,74,39,56,35,0.234718473,0,7.426453625,18.26381022,25.69026379,31.2567358,2.547995272,6.266261721,2.459290954,34.30971767,1.958628871,8.814256976,171.6724667,0,16,4,2011,1,315
12-04-11,25.4,5.9,13.4,19.5,1000.7,994.1,997.7,6.6,84,23,60,61,1.292449609,15,7.118008365,15.0982294,22.21622994,20.2973912,1.426724541,3.026269893,2.121131169,20.04387278,0.614253839,4.452992866,151.2908227,1,16,4,2011,1,67.5
13-04-11,13.9,5.5,7.2,8.4,1001.4,998.4,999.9,3,89,41,67,48,1.116418266,0,12.71762985,24.92672149,37.64435446,13.74563513,1.552116751,3.042169213,1.960013131,12.20444981,0.41816548,4.594286345,55.87125767,2,16,4,2011,1,292.5
14-04-11,15.6,2.1,9.3,13.5,999.5,997.1,998.4,2.4,76,29,58,47,0.873990396,0,7.853725487,18.60641876,26.46014564,28.64030442,1.251417241,2.964757716,2.369120081,15.93405885,0.849115635,4.216175179,59.5936186,3,16,4,2011,1,22.5
15-04-11,14.2,4.5,9.5,9.7,1003.7,1001.1,1002,2.6,68,47,59,21,1.966666667,0,4.062224859,20.34968035,24.41190523,66.25212512,1.024746767,5.133460078,5.009491364,25.22624429,3.401026394,6.158206851,46.19069193,4,16,4,2011,1,22.5
18-04-11,18.1,2.8,10.2,15.3,1007.8,1004.1,1005.9,3.7,76,38,57,38,1.066702694,0,6.242865048,19.16622982,25.40908948,44.93351975,2.586355812,7.940375052,3.070101575,41.42898801,3.567889992,10.52672863,53.93538523,0,17,4,2011,1,45
19-04-11,19.7,4.5,11.9,15.2,1003.4,1001.4,1002.1,2,82,33,60,49,1.539670051,0,6.569259728,19.79285032,26.3621101,43.88898111,2.445050069,7.366813318,3.012949882,37.21956766,3.233219306,9.811863404,50.60404532,1,17,4,2011,1,22.5
20-04-11,21.9,4.2,13.6,17.7,1003.4,1003.1,1003.2,0.3,75,31,56,44,0.466163133,0,7.298308072,18.78319832,26.08150644,34.31099099,2.965354534,7.631747216,2.57363736,40.63071201,2.618528099,10.59710177,59.9678158,2,17,4,2011,1,67.5
21-04-11,24.1,5.3,14.8,18.8,1003.7,1000.3,1001.8,3.4,76,26,57,50,0.78368677,0,7.934862096,18.65894766,26.5938098,28.1060576,3.052531026,7.178072656,2.351515053,38.46986865,2.017473235,10.2306037,99.95092473,3,17,4,2011,1,225
22-04-11,24,5.6,15.1,18.4,1000.3,998.1,999,2.2,69,29,54,40,0.489947295,0,2.883632641,22.36416056,25.2477997,78.20146065,0.733080396,5.685442536,7.755551189,25.42211465,4.446099108,6.418524585,29.18305051,4,17,4,2011,1,90
02-05-11,20.1,7.2,14,12.9,994.6,991.2,993.1,3.4,87,47,72,40,1.008754198,0,4.25531912,20.51793825,24.77325665,64.93785521,1.241413217,5.985741375,4.821715522,29.17321079,3.887012068,7.227154381,38.48599149,0,19,5,2011,1,112.5
03-05-11,23.6,9.3,14.1,14.3,996.3,986.7,990.5,9.6,78,42,65,36,0.812610899,0.4,6.859866366,26.73659238,33.59644908,56.62398374,0.892632604,3.479069826,3.897538371,13.01239057,1.969987933,4.371701173,27.91422222,1,19,5,2011,1,67.5
04-05-11,14.1,2.3,8.6,11.8,1004.5,1001.2,1002.6,3.3,75,37,57,38,1.858996784,0,7.32174799,21.02546414,28.3472067,41.12793796,1.167317934,3.352123209,2.871645427,15.94315915,1.378659153,4.519440279,51.48994022,2,19,5,2011,1,22.5
05-05-11,16.7,2.5,10.6,14.2,1011.2,1008,1009.4,3.2,69,32,53,37,0.498819087,0,8.825618934,22.41357444,31.23918464,33.43068126,1.742823442,4.426080851,2.539603693,19.7473226,1.479668981,6.168902569,45.63922264,3,19,5,2011,1,0
06-05-11,18.8,3.5,12,15.3,1012.7,1010.3,1011.5,2.4,66,34,52,32,0.833348368,0,6.292605411,23.63823509,29.93084054,54.99554422,1.16670005,4.382720393,3.756509991,18.54081058,2.410300932,5.549420448,53.41538117,4,19,5,2011,1,157.5
09-05-11,19.1,5,14.6,14.1,1011,1009.5,1010.5,1.5,62,34,51,28,3.285573611,0,5.091354301,15.85298225,20.94433851,45.70467848,1.65195748,5.143710506,3.113706356,32.44632729,2.350916349,6.79566862,82.50856421,0,20,5,2011,1,45
10-05-11,23.9,8,16.4,15.9,1011.5,1008.5,1010.1,3,68,30,54,38,1.162002739,0,4.09311883,13.8774222,17.97053737,50.13617217,1.742774546,5.908750558,3.390427392,42.57815661,2.962421353,7.651523546,92.24695762,1,20,5,2011,1,67.5
11-05-11,25.1,8.5,17.9,16.6,1005.9,1003.4,1004.4,2.5,62,32,51,30,0.833269192,0,6.115426488,17.51693467,23.63236116,40.97870936,2.229786263,6.386965878,2.864384799,36.46166409,2.617296184,8.616752142,70.42313123,2,20,5,2011,1,67.5
12-05-11,27.6,8.3,19,19.3,1002.3,998.8,1000.1,3.5,69,28,53,41,0.894895789,0,5.444682893,15.25965274,20.70433563,39.67907361,2.465550312,6.910125405,2.802670613,45.28363471,2.741873746,9.375675717,29.47097692,3,20,5,2011,1,135
13-05-11,24.2,15.6,19,8.6,1004.6,1003.5,1004.2,1.1,83,49,66,34,0.49889623,0,5.915759741,17.31942269,23.23518243,42.25462867,1.336777567,3.913650441,2.927675134,22.59688738,1.653698462,5.250428008,13.51302121,4,20,5,2011,1,315
04-07-11,30.2,13.7,22.4,16.5,997.1,996.6,996.8,0.5,75,39,59,36,0.7,0,5.844950571,17.99088672,23.83583735,45.0752187,1.657929606,5.103143878,3.078022047,28.36516041,2.300253264,6.7610735,27.41052455,0,28,7,2011,2,22.5
05-07-11,27.6,18.5,22.2,9.1,997.1,995.3,996.4,1.8,75,49,66,26,1.5,2.1,11.02650379,21.93876719,32.96528078,15.02998907,2.476260386,4.92686541,1.989639473,22.45734852,0.740507332,7.403127995,33.38914217,1,28,7,2011,2,0
06-07-11,30.1,13.9,22.7,16.2,997.1,994.6,995.8,2.5,82,47,69,35,0.3,0,11.780643,25.36958632,37.15022939,21.4952975,2.69075863,5.794542229,2.153497591,22.84050736,1.245554091,8.485300876,90.64374893,2,28,7,2011,2,157.5
07-07-11,32.5,16.1,27.1,16.4,998,996.4,997.1,1.6,73,44,54,29,1.3,0,7.50135644,18.07070429,25.57206078,29.82138621,2.376076411,5.723948,2.408991552,31.67529006,1.706960639,8.100024428,62.93922526,3,28,7,2011,2,0
08-07-11,33.6,18.1,25.3,15.5,1000.1,997.6,999,2.5,65,40,56,25,0.8,0,8.556040473,18.51865732,27.07470054,21.89058278,2.3894139,5.1716372,2.164395713,27.92663157,1.132101523,7.561051867,45.8624136,4,28,7,2011,2,22.5
11-07-11,32.4,18.4,26.2,14,1001.9,999.4,1000.4,2.5,66,37,52,29,1.8,0,9.453064905,22.89060336,32.34366725,30.18391976,1.6750012,4.056016593,2.421500708,17.71913361,1.224264794,5.731017614,60.21015002,0,29,7,2011,2,67.5
12-07-11,31.7,17.9,25.9,13.8,1003.3,998.8,1001,4.5,64,38,54,26,1.6,0,7.739543071,24.02844317,31.76799469,45.54600455,1.815479075,5.636396797,3.104633303,23.45718679,2.567153542,7.451877855,80.06462775,1,29,7,2011,2,135
13-07-11,34.6,20.2,27.6,14.4,996.9,993.7,995.2,3.2,64,41,56,23,1,0,5.505457422,26.01126437,31.51672406,64.21739061,1.653248824,7.810993517,4.724632738,30.02927272,5.016016218,9.464243021,63.87998411,2,29,7,2011,2,315
